Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,655,2,1300.0,1445.323906473163,2.5863440096145496,7583.694137996645,16.948091603053435,4.366294194842279,0.013332196014785587,1300,1800,2200,2400,2900,3300,4000,4500,7600,7600,7600
GET,/sentence,17336,1,1300.0,1424.7502155373993,4.9346610030625015,7849.0107539983,209.98788647900324,115.56347505616147,0.0066660980073927935,1300,1700,1900,2100,2600,3400,4400,4500,5000,7700,7800
,Aggregated,17991,3,1300.0,1425.4992438050315,2.5863440096145496,7849.0107539983,202.95986882330055,119.92976925100373,0.01999829402217838,1300,1700,1900,2100,2700,3400,4400,4500,5300,7700,7800
