Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5267,190,5700.0,22563.305376636083,3.212601994164288,530082.9768510011,16.386747674197835,3.2612083936811014,0.11764374307943977,5700,6300,10000,21000,23000,25000,391000,499000,523000,530000,530000
GET,/sentence,134967,9578,4000.0,22835.91450228496,5.01190400973428,531495.1822430012,195.09724599346507,83.56854248527762,5.930483006394074,4000,4600,5300,5800,7400,87000,472000,495000,514000,524000,531000
,Aggregated,140234,9768,4000.0,22825.67567101166,3.212601994164288,531495.1822430012,188.38512058416646,86.82975087895872,6.048126749473514,4000,4700,5400,5900,8200,86000,471000,495000,514000,525000,531000
